N,Z,A,Element,Mass Excess (keV),ME Error Margin,ME Calculated?,Binding Energy Per Nucleon (keV),BEN Error Margin,BEN Calculated?,Beta Decay Energy (keV),BDE Error Margin,BDE Calculated?,Atomic Mass (u),AM Error Margin,AM Calculated?
130,92,222,U,24272.834,51.994,calculated,7637.7651,0.2342,calculated,-7001.8072,64.43,calculated,222.026057957,55.817,calculated
129,93,222,Np,31274.641,38.051,calculated,7602.7013,0.1714,calculated,-3785.0,302.0,estimated,222.033574706,40.849,calculated
128,94,222,Pu,35060.0,300.0,estimated,7582.0,1.0,estimated,,,absent,222.037638,322.0,estimated
140,83,223,Bi,32240.0,400.0,estimated,7636.0,2.0,estimated,5161.0,445.0,estimated,223.034611,429.0,estimated
139,84,223,Po,27079.0,196.0,estimated,7655.0,1.0,estimated,3651.0,196.0,estimated,223.02907,210.0,estimated
138,85,223,At,23428.008,13.972,calculated,7668.0557,0.0627,calculated,3038.2698,16.0129,calculated,223.025151,15.0,calculated
137,86,223,Rn,20389.738,7.822,calculated,7678.172,0.0351,calculated,2007.4091,8.0568,calculated,223.021889283,8.397,calculated
136,87,223,Fr,18382.329,1.931,calculated,7683.6655,0.0087,calculated,1149.0844,0.8476,calculated,223.019734241,2.073,calculated
135,88,223,Ra,17233.245,2.09,calculated,7685.3101,0.0094,calculated,-591.8099,6.9657,calculated,223.018500648,2.243,calculated
134,89,223,Ac,17825.055,6.947,calculated,7679.1479,0.0312,calculated,-1560.3471,10.4712,calculated,223.019135982,7.457,calculated
133,90,223,Th,19385.402,7.943,calculated,7668.6426,0.0356,calculated,-2952.2124,76.0305,calculated,223.020811083,8.527,calculated
132,91,223,Pa,22337.614,75.632,calculated,7651.8957,0.3392,calculated,-3707.6637,95.9225,calculated,223.023980414,81.193,calculated
131,92,223,U,26045.278,59.054,calculated,7631.7611,0.2648,calculated,-4613.3046,101.752,calculated,223.027960754,63.396,calculated
130,93,223,Np,30658.583,82.863,calculated,7607.5654,0.3716,calculated,-5462.0,311.0,estimated,223.03291334,88.956,calculated
129,94,223,Pu,36121.0,300.0,estimated,7580.0,1.0,estimated,-6579.0,424.0,estimated,223.038777,322.0,estimated
128,95,223,Am,42700.0,300.0,estimated,7547.0,1.0,estimated,,,absent,223.04584,322.0,estimated
141,83,224,Bi,37070.0,400.0,estimated,7616.0,2.0,estimated,7159.0,445.0,estimated,224.039796,429.0,estimated
140,84,224,Po,29910.0,196.0,estimated,7644.0,1.0,estimated,2199.0,197.0,estimated,224.03211,210.0,estimated
139,85,224,At,27711.018,22.356,calculated,7650.7354,0.0998,calculated,5265.9197,24.4153,calculated,224.029749,24.0,calculated
138,86,224,Rn,22445.098,9.814,calculated,7670.7514,0.0438,calculated,696.484,14.875,calculated,224.024095803,10.536,calculated
137,87,224,Fr,21748.614,11.178,calculated,7670.368,0.0499,calculated,2922.7819,11.3237,calculated,224.023348096,12.0,calculated
136,88,224,Ra,18825.832,1.811,calculated,7679.9236,0.0081,calculated,-1408.3152,4.0869,calculated,224.020210361,1.944,calculated
135,89,224,Ac,20234.148,4.089,calculated,7670.1438,0.0183,calculated,238.5672,10.3428,calculated,224.021722249,4.389,calculated
134,90,224,Th,19995.581,9.604,calculated,7667.7162,0.0429,calculated,-3866.7705,12.1339,calculated,224.021466137,10.31,calculated
133,91,224,Pa,23862.351,7.587,calculated,7646.9612,0.0339,calculated,-1880.3393,16.9711,calculated,224.025617286,8.145,calculated
132,92,224,U,25742.69,15.261,calculated,7635.0742,0.0681,calculated,-6289.5572,32.7036,calculated,224.027635913,16.383,calculated
131,93,224,Np,32032.248,28.925,calculated,7603.5032,0.1291,calculated,-3248.0,301.0,estimated,224.03438803,31.052,calculated
130,94,224,Pu,35280.0,300.0,estimated,7586.0,1.0,estimated,-7980.0,500.0,estimated,224.037875,322.0,estimated
129,95,224,Am,43260.0,400.0,estimated,7546.0,2.0,estimated,,,absent,224.046442,429.0,estimated
141,84,225,Po,34580.0,300.0,estimated,7626.0,1.0,estimated,4280.0,424.0,estimated,225.037123,322.0,estimated
140,85,225,At,30300.0,300.0,estimated,7641.0,1.0,estimated,3765.0,300.0,estimated,225.032528,322.0,estimated
139,86,225,Rn,26534.143,11.14,calculated,7654.3581,0.0495,calculated,2713.5412,16.3492,calculated,225.028485572,11.958,calculated
138,87,225,Fr,23820.602,11.967,calculated,7662.9412,0.0532,calculated,1827.5584,12.1574,calculated,225.025572466,12.847,calculated
137,88,225,Ra,21993.044,2.596,calculated,7667.5866,0.0115,calculated,355.7386,5.0067,calculated,225.023610502,2.786,calculated
136,89,225,Ac,21637.305,4.758,calculated,7665.6906,0.0211,calculated,-672.8878,6.6576,calculated,225.023228601,5.107,calculated
135,90,225,Th,22310.193,5.093,calculated,7659.2229,0.0226,calculated,-2046.4473,82.0038,calculated,225.023950975,5.467,calculated
134,91,225,Pa,24356.64,81.867,calculated,7646.6504,0.3639,calculated,-3015.361,82.4514,calculated,225.026147927,87.887,calculated
133,92,225,U,27372.001,9.934,calculated,7629.7717,0.0442,calculated,-4246.0969,92.1491,calculated,225.02938505,10.664,calculated
132,93,225,Np,31618.098,91.618,calculated,7607.4231,0.4072,calculated,-4682.0,314.0,estimated,225.033943422,98.355,calculated
131,94,225,Pu,36300.0,300.0,estimated,7583.0,1.0,estimated,-6090.0,500.0,estimated,225.03897,322.0,estimated
130,95,225,Am,42390.0,400.0,estimated,7553.0,2.0,estimated,,,absent,225.045508,429.0,estimated
142,84,226,Po,37549.0,401.0,estimated,7614.0,2.0,estimated,2889.0,500.0,estimated,226.04031,430.0,estimated
141,85,226,At,34660.0,300.0,estimated,7624.0,1.0,estimated,5913.0,300.0,estimated,226.037209,322.0,estimated
140,86,226,Rn,28747.194,10.477,calculated,7646.4108,0.0464,calculated,1226.6542,12.1895,calculated,226.03086138,11.247,calculated
139,87,226,Fr,27520.539,6.23,calculated,7648.3768,0.0276,calculated,3852.9638,6.5215,calculated,226.029544512,6.688,calculated
138,88,226,Ra,23667.576,1.927,calculated,7661.9636,0.0085,calculated,-641.6252,3.273,calculated,226.025408186,2.068,calculated
137,89,226,Ac,24309.201,3.1,calculated,7655.6628,0.0137,calculated,1111.5517,4.5626,calculated,226.026096999,3.327,calculated
136,90,226,Th,23197.649,4.481,calculated,7657.1195,0.0198,calculated,-2835.9504,11.9702,calculated,226.024903699,4.81,calculated
135,91,226,Pa,26033.6,11.213,calculated,7641.1093,0.0496,calculated,-1295.1978,15.6747,calculated,226.027948217,12.037,calculated
134,92,226,U,27328.797,11.071,calculated,7631.9166,0.049,calculated,-5488.0792,102.6485,calculated,226.029338669,11.884,calculated
133,93,226,Np,32816.877,102.063,calculated,7604.1714,0.4516,calculated,-2813.0,225.0,estimated,226.035230364,109.568,calculated
132,94,226,Pu,35630.0,200.0,estimated,7588.0,1.0,estimated,-7340.0,361.0,estimated,226.03825,215.0,estimated
131,95,226,Am,42970.0,300.0,estimated,7552.0,1.0,estimated,,,absent,226.04613,322.0,estimated
143,84,227,Po,42281.0,401.0,estimated,7596.0,2.0,estimated,4850.0,500.0,estimated,227.04539,430.0,estimated
142,85,227,At,37430.0,300.0,estimated,7613.0,1.0,estimated,4544.0,300.0,estimated,227.040183,322.0,estimated
141,86,227,Rn,32885.835,14.091,calculated,7630.0508,0.0621,calculated,3203.3894,15.2755,calculated,227.035304393,15.127,calculated
140,87,227,Fr,29682.445,5.898,calculated,7640.7162,0.026,calculated,2504.9813,6.2112,calculated,227.031865413,6.332,calculated
139,88,227,Ra,27177.464,1.946,calculated,7648.3048,0.0086,calculated,1327.9489,2.2622,calculated,227.029176205,2.089,calculated
138,89,227,Ac,25849.515,1.926,calculated,7650.7084,0.0085,calculated,44.7559,0.8297,calculated,227.027750594,2.068,calculated
137,90,227,Th,25804.759,2.088,calculated,7647.4591,0.0092,calculated,-1025.6117,7.2815,calculated,227.027702546,2.241,calculated
136,91,227,Pa,26830.371,7.263,calculated,7639.4945,0.032,calculated,-2214.6629,11.1118,calculated,227.028803586,7.797,calculated
135,92,227,U,29045.034,8.51,calculated,7626.2918,0.0375,calculated,-3533.9848,77.4417,calculated,227.031181124,9.136,calculated
134,93,227,Np,32579.018,76.989,calculated,7607.2771,0.3392,calculated,-4191.0,126.0,estimated,227.034975012,82.651,calculated
133,94,227,Pu,36770.0,100.0,estimated,7585.0,0.0,estimated,-5410.0,224.0,estimated,227.039474,107.0,estimated
132,95,227,Am,42180.0,200.0,estimated,7558.0,1.0,estimated,,,absent,227.045282,215.0,estimated
143,85,228,At,41880.0,400.0,estimated,7596.0,2.0,estimated,6637.0,400.0,estimated,228.04496,429.0,estimated
142,86,228,Rn,35243.466,17.677,calculated,7621.6457,0.0775,calculated,1859.2451,18.9157,calculated,228.037835415,18.977,calculated
141,87,228,Fr,33384.221,6.732,calculated,7626.3689,0.0295,calculated,4444.027,7.021,calculated,228.035839433,7.226,calculated
140,88,228,Ra,28940.194,1.995,calculated,7642.4289,0.0088,calculated,45.5402,0.6344,calculated,228.031068574,2.141,calculated
139,89,228,Ac,28894.654,2.093,calculated,7639.1973,0.0092,calculated,2123.7545,2.6446,calculated,228.031019685,2.247,calculated
138,90,228,Th,26770.899,1.806,calculated,7645.0807,0.0079,calculated,-2152.6993,4.3399,calculated,228.028739741,1.938,calculated
137,91,228,Pa,28923.599,4.34,calculated,7632.2076,0.019,calculated,-296.402,14.0858,calculated,228.031050758,4.659,calculated
136,92,228,U,29220.001,13.474,calculated,7627.4763,0.0591,calculated,-4605.0,101.0,estimated,228.031368959,14.465,calculated
135,93,228,Np,33825.0,100.0,estimated,7604.0,0.0,estimated,-2283.0,103.0,estimated,228.036313,108.0,estimated
134,94,228,Pu,36107.809,23.352,calculated,7590.4039,0.1024,calculated,-6742.0,202.0,estimated,228.038763325,25.069,calculated
133,95,228,Am,42850.0,200.0,estimated,7557.0,1.0,estimated,,,absent,228.046001,215.0,estimated
144,85,229,At,44890.0,400.0,estimated,7585.0,2.0,estimated,5527.0,400.0,estimated,229.048191,429.0,estimated
143,86,229,Rn,39362.4,13.041,calculated,7605.6227,0.0569,calculated,3694.1465,13.967,calculated,229.042257272,14.0,calculated
142,87,229,Fr,35668.253,5.001,calculated,7618.338,0.0218,calculated,3106.2907,16.2305,calculated,229.038291443,5.368,calculated
141,88,229,Ra,32561.963,15.441,calculated,7628.4862,0.0674,calculated,1872.0266,19.6229,calculated,229.034956703,16.576,calculated
140,89,229,Ac,30689.936,12.109,calculated,7633.2446,0.0529,calculated,1104.4191,12.3458,calculated,229.032947,13.0,calculated
139,90,229,Th,29585.517,2.404,calculated,7634.651,0.0105,calculated,-311.331,3.7152,calculated,229.031761357,2.581,calculated
138,91,229,Pa,29896.848,3.28,calculated,7629.8752,0.0143,calculated,-1313.7716,6.6554,calculated,229.032095585,3.521,calculated
137,92,229,U,31210.62,5.938,calculated,7620.7218,0.0259,calculated,-2590.7577,101.3342,calculated,229.033505976,6.374,calculated
136,93,229,Np,33801.378,101.177,calculated,7605.9921,0.4418,calculated,-3593.5462,117.9433,calculated,229.036287269,108.618,calculated
135,94,229,Pu,37394.924,60.633,calculated,7586.8834,0.2648,calculated,-4785.4899,122.4147,calculated,229.040145099,65.092,calculated
134,95,229,Am,42180.414,106.348,calculated,7562.5697,0.4644,calculated,,,absent,229.045282534,114.169,calculated
144,86,230,Rn,42170.0,200.0,estimated,7595.0,1.0,estimated,2683.0,200.0,estimated,230.045271,215.0,estimated
143,87,230,Fr,39486.769,6.541,calculated,7603.7052,0.0284,calculated,4970.4627,12.1984,calculated,230.042390787,7.022,calculated
142,88,230,Ra,34516.306,10.296,calculated,7621.9144,0.0448,calculated,677.9196,18.8884,calculated,230.037054776,11.053,calculated
141,89,230,Ac,33838.386,15.835,calculated,7621.4604,0.0689,calculated,2975.8745,15.8815,calculated,230.036327,17.0,calculated
140,90,230,Th,30862.512,1.209,calculated,7630.9974,0.0053,calculated,-1311.0313,2.8334,calculated,230.033132267,1.297,calculated
139,91,230,Pa,32173.543,3.038,calculated,7621.8958,0.0132,calculated,558.5262,4.5919,calculated,230.034539717,3.261,calculated
138,92,230,U,31615.017,4.509,calculated,7620.9227,0.0196,calculated,-3621.5986,55.1683,calculated,230.033940114,4.841,calculated
137,93,230,Np,35236.615,55.007,calculated,7601.7751,0.2392,calculated,-1695.5543,56.8505,calculated,230.03782806,59.051,calculated
136,94,230,Pu,36932.17,14.451,calculated,7591.0016,0.0628,calculated,-5940.0,144.0,estimated,230.039648313,15.514,calculated
135,95,230,Am,42872.0,143.0,estimated,7562.0,1.0,estimated,,,absent,230.046025,153.0,estimated
145,86,231,Rn,46550.0,300.0,estimated,7579.0,1.0,estimated,4469.0,300.0,estimated,231.049973,322.0,estimated
144,87,231,Fr,42080.575,7.731,calculated,7594.5009,0.0335,calculated,3864.0868,13.7495,calculated,231.045175353,8.3,calculated
143,88,231,Ra,38216.488,11.37,calculated,7607.8418,0.0492,calculated,2453.6351,17.3014,calculated,231.041027085,12.206,calculated
142,89,231,Ac,35762.853,13.041,calculated,7615.0768,0.0565,calculated,1947.0425,13.0976,calculated,231.038393,14.0,calculated
141,90,231,Th,33815.811,1.217,calculated,7620.1188,0.0053,calculated,391.4727,1.4598,calculated,231.036302764,1.306,calculated
140,91,231,Pa,33424.338,1.771,calculated,7618.4267,0.0077,calculated,-381.6138,2.0325,calculated,231.0358825,1.901,calculated
139,92,231,U,33805.952,2.67,calculated,7613.3879,0.0116,calculated,-1817.7347,51.1839,calculated,231.03629218,2.866,calculated
138,93,231,Np,35623.686,51.154,calculated,7602.1321,0.2214,calculated,-2684.8905,55.6931,calculated,231.038243598,54.916,calculated
137,94,231,Pu,38308.577,22.061,calculated,7587.1224,0.0955,calculated,-4101.0,301.0,estimated,231.041125946,23.683,calculated
136,95,231,Am,42410.0,300.0,estimated,7566.0,1.0,estimated,-4860.0,424.0,estimated,231.045529,322.0,estimated
135,96,231,Cm,47270.0,300.0,estimated,7542.0,1.0,estimated,,,absent,231.050746,322.0,estimated
145,87,232,Fr,46072.834,13.972,calculated,7579.3481,0.0602,calculated,5575.8791,16.7023,calculated,232.049461219,15.0,calculated
144,88,232,Ra,40496.955,9.151,calculated,7600.0099,0.0394,calculated,1342.5322,15.9313,calculated,232.043475267,9.823,calculated
143,89,232,Ac,39154.423,13.041,calculated,7602.4245,0.0562,calculated,3707.7131,13.1181,calculated,232.042034,14.0,calculated
142,90,232,Th,35446.71,1.421,calculated,7615.0338,0.0061,calculated,-499.8388,7.7338,calculated,232.038053606,1.525,calculated
141,91,232,Pa,35946.549,7.645,calculated,7609.5072,0.033,calculated,1337.1034,7.4278,calculated,232.038590205,8.206,calculated
140,92,232,U,34609.445,1.808,calculated,7611.8984,0.0078,calculated,-2750.0,100.0,estimated,232.037154765,1.941,calculated
139,93,232,Np,37359.0,100.0,estimated,7597.0,0.0,estimated,-1001.0,101.0,estimated,232.040107,107.0,estimated
138,94,232,Pu,38360.915,16.885,calculated,7588.9839,0.0728,calculated,-5059.0,300.0,estimated,232.041182133,18.126,calculated
137,95,232,Am,43420.0,300.0,estimated,7564.0,1.0,estimated,-2913.0,361.0,estimated,232.046613,322.0,estimated
136,96,232,Cm,46333.0,201.0,estimated,7548.0,1.0,estimated,,,absent,232.04974,216.0,estimated
146,87,233,Fr,48920.052,19.561,calculated,7569.2398,0.084,calculated,4585.9906,21.3694,calculated,233.052517833,21.0,calculated
145,88,233,Ra,44334.062,8.603,calculated,7585.5644,0.0369,calculated,3026.0244,15.6228,calculated,233.04759457,9.235,calculated
144,89,233,Ac,41308.037,13.041,calculated,7595.1939,0.056,calculated,2576.395,13.1184,calculated,233.044346,14.0,calculated
143,90,233,Th,38731.642,1.424,calculated,7602.8937,0.0061,calculated,1242.232,1.1224,calculated,233.041580126,1.528,calculated
142,91,233,Pa,37489.41,1.336,calculated,7604.8675,0.0057,calculated,570.2993,1.975,calculated,233.040246535,1.433,calculated
141,92,233,U,36919.111,2.254,calculated,7603.9574,0.0097,calculated,-1029.4197,51.005,calculated,233.039634294,2.42,calculated
140,93,233,Np,37948.531,50.981,calculated,7596.1816,0.2188,calculated,-2103.3047,74.3811,calculated,233.040739421,54.729,calculated
139,94,233,Pu,40051.836,54.178,calculated,7583.7968,0.2325,calculated,-3233.0,126.0,estimated,233.042997411,58.162,calculated
138,95,233,Am,43285.0,114.0,estimated,7567.0,0.0,estimated,-4008.0,140.0,estimated,233.046468,123.0,estimated
137,96,233,Cm,47293.34,81.095,calculated,7546.002,0.348,calculated,-5478.0,247.0,estimated,233.050771485,87.059,calculated
136,97,233,Bk,52771.0,233.0,estimated,7519.0,1.0,estimated,,,absent,233.056652,250.0,estimated
146,88,234,Ra,46930.629,8.383,calculated,7576.5439,0.0358,calculated,2089.4348,16.2945,calculated,234.0503821,9.0,calculated
145,89,234,Ac,44841.195,13.972,calculated,7582.1297,0.0597,calculated,4228.2364,14.2103,calculated,234.048139,15.0,calculated
144,90,234,Th,40612.958,2.589,calculated,7596.8557,0.0111,calculated,274.0882,3.1716,calculated,234.043599801,2.779,calculated
143,91,234,Pa,40338.87,4.094,calculated,7594.6837,0.0175,calculated,2193.9105,3.9998,calculated,234.043305555,4.395,calculated
142,92,234,U,38144.959,1.129,calculated,7600.716,0.0048,calculated,-1809.8462,8.3205,calculated,234.040950296,1.212,calculated
141,93,234,Np,39954.806,8.397,calculated,7589.6382,0.0359,calculated,-395.1807,10.7522,calculated,234.042893245,9.014,calculated
140,94,234,Pu,40349.986,6.798,calculated,7584.6061,0.0291,calculated,-4112.0,160.0,estimated,234.043317489,7.298,calculated
139,95,234,Am,44462.0,160.0,estimated,7564.0,1.0,estimated,-2261.0,161.0,estimated,234.047731,172.0,estimated
138,96,234,Cm,46722.411,17.078,calculated,7550.6868,0.073,calculated,-6673.0,154.0,estimated,234.050158568,18.333,calculated
137,97,234,Bk,53395.0,153.0,estimated,7519.0,1.0,estimated,,,absent,234.057322,164.0,estimated
147,88,235,Ra,51130.0,300.0,estimated,7561.0,1.0,estimated,3773.0,300.0,estimated,235.05489,322.0,estimated
146,89,235,Ac,47357.16,13.972,calculated,7573.5051,0.0595,calculated,3339.4064,19.1127,calculated,235.05084,15.0,calculated
145,90,235,Th,44017.754,13.041,calculated,7584.3862,0.0555,calculated,1728.8531,19.1127,calculated,235.047255,14.0,calculated
144,91,235,Pa,42288.901,13.972,calculated,7588.4139,0.0595,calculated,1370.1184,14.0169,calculated,235.045399,15.0,calculated
143,92,235,U,40918.782,1.116,calculated,7590.9151,0.0048,calculated,-124.2619,0.8524,calculated,235.043928117,1.198,calculated
142,93,235,Np,41043.044,1.388,calculated,7587.0571,0.0059,calculated,-1139.3021,20.4992,calculated,235.044061518,1.49,calculated
141,94,235,Pu,42182.346,20.521,calculated,7578.8799,0.0873,calculated,-2442.2558,56.5932,calculated,235.045284609,22.03,calculated
140,95,235,Am,44624.602,52.78,calculated,7565.1582,0.2246,calculated,-3389.0,115.0,estimated,235.047906478,56.661,calculated
139,96,235,Cm,48013.0,102.0,estimated,7547.0,0.0,estimated,-4757.0,413.0,estimated,235.051545,110.0,estimated
138,97,235,Bk,52770.0,401.0,estimated,7524.0,2.0,estimated,,,absent,235.056651,430.0,estimated
147,89,236,Ac,51220.998,38.191,calculated,7559.2423,0.1618,calculated,4965.7951,40.6669,calculated,236.054988,41.0,calculated
146,90,236,Th,46255.203,13.972,calculated,7576.9688,0.0592,calculated,921.2477,19.76,calculated,236.049657,15.0,calculated
145,91,236,Pa,45333.955,13.972,calculated,7577.5573,0.0592,calculated,2889.373,14.0166,calculated,236.048668,15.0,calculated
144,92,236,U,42444.582,1.112,calculated,7586.4854,0.0047,calculated,-933.5116,50.4152,calculated,236.04556613,1.193,calculated
143,93,236,Np,43378.094,50.421,calculated,7579.2148,0.2136,calculated,476.5854,50.3887,calculated,236.046568296,54.129,calculated
142,94,236,Pu,42901.508,1.81,calculated,7577.9192,0.0077,calculated,-3139.0,119.0,estimated,236.046056661,1.942,calculated
141,95,236,Am,46041.0,119.0,estimated,7561.0,1.0,estimated,-1812.0,120.0,estimated,236.049427,127.0,estimated
140,96,236,Cm,47852.82,17.635,calculated,7550.309,0.0747,calculated,-5689.0,361.0,estimated,236.051372112,18.931,calculated
139,97,236,Bk,53542.0,361.0,estimated,7523.0,2.0,estimated,,,absent,236.057479,387.0,estimated
148,89,237,Ac,54020.0,400.0,estimated,7550.0,2.0,estimated,4065.0,400.0,estimated,237.057993,429.0,estimated
147,90,237,Th,49955.097,15.835,calculated,7563.4433,0.0668,calculated,2427.4736,20.514,calculated,237.053629,17.0,calculated
146,91,237,Pa,47527.624,13.041,calculated,7570.3847,0.055,calculated,2137.4905,13.0962,calculated,237.051023,14.0,calculated
145,92,237,U,45390.133,1.202,calculated,7576.1026,0.0051,calculated,518.5338,0.52,calculated,237.048728309,1.29,calculated
144,93,237,Np,44871.599,1.12,calculated,7574.9895,0.0047,calculated,-220.063,1.2944,calculated,237.04817164,1.201,calculated
143,94,237,Pu,45091.662,1.697,calculated,7570.7599,0.0072,calculated,-1478.0,59.0,estimated,237.048407888,1.821,calculated
142,95,237,Am,46570.0,59.0,estimated,7561.0,0.0,estimated,-2677.0,95.0,estimated,237.049995,64.0,estimated
141,96,237,Cm,49247.151,74.399,calculated,7546.6241,0.3139,calculated,-3963.0,242.0,estimated,237.052868988,79.87,calculated
140,97,237,Bk,53210.0,230.0,estimated,7527.0,1.0,estimated,-4728.0,250.0,estimated,237.057123,247.0,estimated
139,98,237,Cf,57938.255,97.347,calculated,7503.3507,0.4107,calculated,,,absent,237.062199272,104.506,calculated
148,90,238,Th,52525.0,283.0,estimated,7555.0,1.0,estimated,1631.0,284.0,estimated,238.056388,304.0,estimated
147,91,238,Pa,50894.043,15.835,calculated,7558.3449,0.0665,calculated,3586.3111,15.9056,calculated,238.054637,17.0,calculated
146,92,238,U,47307.732,1.492,calculated,7570.1262,0.0063,calculated,-146.8652,1.2006,calculated,238.050786936,1.601,calculated
145,93,238,Np,47454.597,1.137,calculated,7566.222,0.0048,calculated,1291.4491,0.4573,calculated,238.050944603,1.22,calculated
144,94,238,Pu,46163.148,1.138,calculated,7568.3611,0.0048,calculated,-2258.2731,58.9005,calculated,238.049558175,1.221,calculated
143,95,238,Am,48421.421,58.911,calculated,7555.5853,0.2475,calculated,-1023.7818,60.1587,calculated,238.051982531,63.243,calculated
142,96,238,Cm,49445.203,12.234,calculated,7547.9966,0.0514,calculated,-4771.0,256.0,estimated,238.053081606,13.133,calculated
141,97,238,Bk,54216.0,256.0,estimated,7525.0,1.0,estimated,-3061.0,393.0,estimated,238.058204,275.0,estimated
140,98,238,Cf,57278.0,298.0,estimated,7509.0,1.0,estimated,,,absent,238.06149,320.0,estimated
149,90,239,Th,56500.0,400.0,estimated,7540.0,2.0,estimated,3162.0,445.0,estimated,239.060655,429.0,estimated
148,91,239,Pa,53337.0,196.0,estimated,7550.0,1.0,estimated,2765.0,196.0,estimated,239.05726,210.0,estimated
147,92,239,U,50572.668,1.502,calculated,7558.5624,0.0063,calculated,1261.6634,1.4935,calculated,239.054291989,1.612,calculated
146,93,239,Np,49311.005,1.31,calculated,7560.568,0.0055,calculated,722.7849,0.9304,calculated,239.052937538,1.406,calculated
145,94,239,Pu,48588.22,1.112,calculated,7560.3187,0.0047,calculated,-802.1402,1.6635,calculated,239.052161596,1.194,calculated
144,95,239,Am,49390.36,1.982,calculated,7553.6891,0.0083,calculated,-1756.6021,150.074,calculated,239.053022729,2.127,calculated
143,96,239,Cm,51146.962,150.07,calculated,7543.0659,0.6279,calculated,-3103.0,256.0,estimated,239.054908519,161.107,calculated
142,97,239,Bk,54250.0,207.0,estimated,7527.0,1.0,estimated,-3952.0,239.0,estimated,239.058239,222.0,estimated
141,98,239,Cf,58202.0,120.0,estimated,7507.0,1.0,estimated,-5429.0,323.0,estimated,239.062482,129.0,estimated
140,99,239,Es,63630.0,300.0,estimated,7481.0,1.0,estimated,,,absent,239.06831,322.0,estimated
149,91,240,Pa,57010.0,200.0,estimated,7537.0,1.0,estimated,4295.0,200.0,estimated,240.061203,215.0,estimated
148,92,240,U,52715.497,2.553,calculated,7551.7705,0.0106,calculated,399.2685,17.083,calculated,240.056592411,2.74,calculated
147,93,240,Np,52316.229,17.032,calculated,7550.1743,0.071,calculated,2190.9095,17.0151,calculated,240.056163778,18.284,calculated
146,94,240,Pu,50125.319,1.105,calculated,7556.0433,0.0046,calculated,-1384.7902,13.7882,calculated,240.05381174,1.186,calculated
145,95,240,Am,51510.11,13.832,calculated,7547.0136,0.0576,calculated,-214.1127,13.8967,calculated,240.055298374,14.849,calculated
144,96,240,Cm,51724.222,1.905,calculated,7542.8617,0.0079,calculated,-3940.0,150.0,estimated,240.055528233,2.045,calculated
143,97,240,Bk,55664.0,150.0,estimated,7523.0,1.0,estimated,-2324.0,151.0,estimated,240.059758,161.0,estimated
142,98,240,Cf,57988.719,18.034,calculated,7510.24,0.0751,calculated,-6237.0,366.0,estimated,240.062253447,19.36,calculated
141,99,240,Es,64225.0,366.0,estimated,7481.0,2.0,estimated,,,absent,240.068949,393.0,estimated
150,91,241,Pa,59740.0,300.0,estimated,7528.0,1.0,estimated,3543.0,358.0,estimated,241.064134,322.0,estimated
149,92,241,U,56197.0,196.0,estimated,7539.0,1.0,estimated,1882.0,220.0,estimated,241.06033,210.0,estimated
148,93,241,Np,54315.115,100.006,calculated,7544.0426,0.415,calculated,1360.0,100.0,calculated,241.058309671,107.36,calculated
147,94,241,Pu,52955.115,1.105,calculated,7546.4395,0.0046,calculated,20.7799,0.1658,calculated,241.056849651,1.186,calculated
146,95,241,Am,52934.335,1.113,calculated,7543.2795,0.0046,calculated,-767.4346,1.1685,calculated,241.056827343,1.195,calculated
145,96,241,Cm,53701.77,1.607,calculated,7536.8488,0.0067,calculated,-2279.0,165.0,estimated,241.057651218,1.725,calculated
144,97,241,Bk,55981.0,165.0,estimated,7524.0,1.0,estimated,-3346.0,235.0,estimated,241.060098,178.0,estimated
143,98,241,Cf,59327.0,167.0,estimated,7507.0,1.0,estimated,-4567.0,285.0,estimated,241.06369,180.0,estimated
142,99,241,Es,63893.0,231.0,estimated,7485.0,1.0,estimated,-5327.0,379.0,estimated,241.068592,248.0,estimated
141,100,241,Fm,69220.0,300.0,estimated,7459.0,1.0,estimated,,,absent,241.074311,322.0,estimated
150,92,242,U,58620.0,201.0,estimated,7532.0,1.0,estimated,1203.0,283.0,estimated,242.062931,215.0,estimated
149,93,242,Np,57416.876,200.004,calculated,7533.4042,0.8265,calculated,2700.0,200.0,calculated,242.061639548,214.712,calculated
148,94,242,Pu,54716.876,1.245,calculated,7541.3284,0.0052,calculated,-751.1373,0.708,calculated,242.058740979,1.336,calculated
147,95,242,Am,55468.014,1.118,calculated,7534.9917,0.0046,calculated,664.3145,0.4143,calculated,242.059547358,1.199,calculated
146,96,242,Cm,54803.699,1.141,calculated,7534.504,0.0047,calculated,-2948.0,135.0,estimated,242.058834187,1.224,calculated
145,97,242,Bk,57752.0,135.0,estimated,7519.0,1.0,estimated,-1635.0,135.0,estimated,242.061999,144.0,estimated
144,98,242,Cf,59386.982,12.892,calculated,7509.0991,0.0533,calculated,-5414.0,257.0,estimated,242.063754544,13.84,calculated
143,99,242,Es,64801.0,257.0,estimated,7483.0,1.0,estimated,-3598.0,476.0,estimated,242.069567,276.0,estimated
142,100,242,Fm,68400.0,401.0,estimated,7465.0,2.0,estimated,,,absent,242.07343,430.0,estimated
151,92,243,U,62480.0,300.0,estimated,7518.0,1.0,estimated,2674.0,302.0,estimated,243.067075,322.0,estimated
150,93,243,Np,59806.0,32.0,estimated,7526.0,0.0,estimated,2051.0,32.0,estimated,243.064204,34.0,estimated
